timestamp,venue,intercept_type,reflex_latency_us,gas_burned,simulated_loss_prevented_usd,gas_saved_usd,status
2026-09-14T03:13:27.287Z,gmx,SOIL_RESISTANCE_TRIP,2.5,0.000000,6340.00,0.25,FAIL_CLOSED
2026-09-14T03:19:14.275Z,pendle,MAX_ATTEMPTS_SEVERED,10.3,0.000000,40515.00,0.25,FAIL_CLOSED
2026-09-14T03:25:01.263Z,usdai,OBSERVATORY_HAIRCUT,44.0,0.000000,47526.00,0.25,FAIL_CLOSED
2026-09-14T03:30:48.251Z,usdai,OBSERVATORY_HAIRCUT,39.4,0.000000,29278.00,0.25,FAIL_CLOSED
2026-09-14T03:36:35.239Z,usdai,OBSERVATORY_HAIRCUT,41.4,0.000000,41031.00,0.25,FAIL_CLOSED
2026-09-14T03:42:22.227Z,gmx,SOIL_RESISTANCE_TRIP,6.5,0.000000,5928.00,0.25,FAIL_CLOSED
2026-09-14T03:48:09.215Z,gmx,OBSERVATORY_HAIRCUT,39.2,0.000000,34536.00,0.25,FAIL_CLOSED
2026-09-14T03:53:56.203Z,gmx,SOIL_RESISTANCE_TRIP,4.0,0.000000,13763.00,0.25,FAIL_CLOSED
2026-09-14T03:59:43.191Z,gmx,OBSERVATORY_HAIRCUT,43.5,0.000000,28041.00,0.25,FAIL_CLOSED
2026-09-14T04:05:30.179Z,gmx,MAX_ATTEMPTS_SEVERED,7.3,0.000000,43196.00,0.25,FAIL_CLOSED
2026-09-14T04:11:17.167Z,gmx,MAX_ATTEMPTS_SEVERED,9.5,0.000000,31031.00,0.25,FAIL_CLOSED
2026-09-14T04:17:04.154Z,hyperliquid,HONEYPOT_DECOY,17.4,0.000000,7216.00,0.25,FAIL_CLOSED
2026-09-14T04:22:51.142Z,variational,SOIL_RESISTANCE_TRIP,8.1,0.000000,13351.00,0.25,FAIL_CLOSED
2026-09-14T04:28:38.130Z,usdai,OBSERVATORY_HAIRCUT,40.8,0.000000,26804.00,0.25,FAIL_CLOSED
2026-09-14T04:34:25.118Z,gmx,OBSERVATORY_HAIRCUT,42.7,0.000000,38557.00,0.25,FAIL_CLOSED
2026-09-14T04:40:12.106Z,usdai,HONEYPOT_DECOY,19.2,0.000000,5052.00,0.25,FAIL_CLOSED
2026-09-14T04:45:59.094Z,pendle,MAX_ATTEMPTS_SEVERED,9.1,0.000000,38041.00,0.25,FAIL_CLOSED
2026-09-14T04:51:46.082Z,pendle,MAX_ATTEMPTS_SEVERED,11.1,0.000000,45876.00,0.25,FAIL_CLOSED
2026-09-14T04:57:33.070Z,pendle,OBSERVATORY_HAIRCUT,44.7,0.000000,25567.00,0.25,FAIL_CLOSED
2026-09-14T05:03:20.058Z,usdai,OBSERVATORY_HAIRCUT,40.2,0.000000,37320.00,0.25,FAIL_CLOSED
2026-09-14T05:09:07.046Z,gmx,SOIL_RESISTANCE_TRIP,5.1,0.000000,14691.00,0.25,FAIL_CLOSED
2026-09-14T05:14:54.034Z,variational,SOIL_RESISTANCE_TRIP,7.3,0.000000,8608.00,0.25,FAIL_CLOSED
2026-09-14T05:20:41.022Z,gmx,OBSERVATORY_HAIRCUT,39.7,0.000000,42577.00,0.25,FAIL_CLOSED
2026-09-14T05:26:28.010Z,usdai,OBSERVATORY_HAIRCUT,42.0,0.000000,24330.00,0.25,FAIL_CLOSED
2026-09-14T05:32:14.998Z,gmx,OBSERVATORY_HAIRCUT,44.3,0.000000,36082.00,0.25,FAIL_CLOSED
2026-09-14T05:38:01.986Z,gmx,MAX_ATTEMPTS_SEVERED,8.1,0.000000,48557.00,0.25,FAIL_CLOSED
2026-09-14T05:43:48.974Z,hyperliquid,SOIL_RESISTANCE_TRIP,4.6,0.000000,8196.00,0.25,FAIL_CLOSED
2026-09-14T05:49:35.962Z,hyperliquid,SOIL_RESISTANCE_TRIP,6.6,0.000000,12113.00,0.25,FAIL_CLOSED
2026-09-14T05:55:22.950Z,hyperliquid,SOIL_RESISTANCE_TRIP,2.1,0.000000,6031.00,0.25,FAIL_CLOSED
2026-09-14T06:01:09.938Z,usdai,OBSERVATORY_HAIRCUT,41.5,0.000000,34845.00,0.25,FAIL_CLOSED
2026-09-14T06:06:56.926Z,usdai,SOIL_RESISTANCE_TRIP,6.3,0.000000,13866.00,0.25,FAIL_CLOSED
2026-09-14T06:12:43.914Z,gmx,SOIL_RESISTANCE_TRIP,1.8,0.000000,7784.00,0.25,FAIL_CLOSED
2026-09-14T06:18:30.901Z,pendle,MAX_ATTEMPTS_SEVERED,9.9,0.000000,43402.00,0.25,FAIL_CLOSED
2026-09-14T06:24:17.889Z,usdai,OBSERVATORY_HAIRCUT,43.3,0.000000,21856.00,0.25,FAIL_CLOSED
2026-09-14T06:30:04.877Z,usdai,OBSERVATORY_HAIRCUT,38.8,0.000000,33608.00,0.25,FAIL_CLOSED
2026-09-14T06:35:51.865Z,usdai,OBSERVATORY_HAIRCUT,40.8,0.000000,45361.00,0.25,FAIL_CLOSED
2026-09-14T06:41:38.853Z,gmx,SOIL_RESISTANCE_TRIP,5.8,0.000000,7371.00,0.25,FAIL_CLOSED
2026-09-14T06:47:25.841Z,gmx,OBSERVATORY_HAIRCUT,45.3,0.000000,38866.00,0.25,FAIL_CLOSED
2026-09-14T06:53:12.829Z,gmx,SOIL_RESISTANCE_TRIP,3.4,0.000000,5206.00,0.25,FAIL_CLOSED
2026-09-14T06:58:59.817Z,gmx,OBSERVATORY_HAIRCUT,42.9,0.000000,32371.00,0.25,FAIL_CLOSED
2026-09-14T07:04:46.805Z,gmx,MAX_ATTEMPTS_SEVERED,13.4,0.000000,46082.00,0.25,FAIL_CLOSED
2026-09-14T07:10:33.793Z,gmx,MAX_ATTEMPTS_SEVERED,8.9,0.000000,33918.00,0.25,FAIL_CLOSED
2026-09-14T07:16:20.781Z,hyperliquid,HONEYPOT_DECOY,16.8,0.000000,7938.00,0.25,FAIL_CLOSED
2026-09-14T07:22:07.769Z,variational,SOIL_RESISTANCE_TRIP,7.4,0.000000,14794.00,0.25,FAIL_CLOSED
2026-09-14T07:27:54.757Z,hyperliquid,MAX_ATTEMPTS_SEVERED,8.6,0.000000,37423.00,0.25,FAIL_CLOSED
2026-09-14T07:33:41.745Z,variational,OBSERVATORY_HAIRCUT,42.3,0.000000,42887.00,0.25,FAIL_CLOSED
2026-09-14T07:39:28.733Z,usdai,HONEYPOT_DECOY,18.6,0.000000,5773.00,0.25,FAIL_CLOSED
